group,name,K,S_set,partition,priority,palette_method,N_Triangles,N_Cells,Budget_Util,Palette_Util,PSNR,SSIM,MS-SSIM,Delta_E_2000,Edge_F1,Edge_Precision,Edge_Recall,EPI,Quant_Error,FPS
A_ksweep,k04,4.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,16.571403686831545,0.38422782346615403,0.5131508328124743,11.077791215649679,0.3300897324085784,0.2655376482421464,0.43610719832412326,0.06435939040917596,9.24895559292299,0.11395052112963347
A_ksweep,k08,8.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.218181078627435,0.36262647129662423,0.5157130182694776,10.045700036603897,0.3230329675246657,0.24080070916853608,0.49055513417849533,0.048647537106300265,7.2185369993178705,0.09785698698990697
A_ksweep,k16,16.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.565676923894994,0.35971691929149024,0.5389089191054686,8.74245853817864,0.3476739317726744,0.2698805650425399,0.4884783472387763,0.04660804419596774,5.618942649434331,0.0976972125353163
B_sweep,s_2_4_8_16_32,8.0,"[2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.284325147551133,0.35915332956084534,0.5202792590831119,9.954324661711,0.2949377800613803,0.22267611656491954,0.43663090981326974,0.04570453673363323,7.3004554120069285,0.09059783780624316
B_sweep,s_4_8_16_32,8.0,"[4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.22045294329962,0.36959398129535304,0.5182626003266798,10.218457054764931,0.3196773788937997,0.23768551031531168,0.48802687181709825,0.050381702064039,7.331155500122859,0.0910962656148511
B_sweep,s_8_16_32,8.0,"[8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.205404683043895,0.35918077557818867,0.5218522200230349,9.954878599769973,0.3712763206150221,0.2901696957525856,0.5153140463033192,0.06054597540870627,7.204603830761713,0.08958868658492772
C_algorithm,quadtree,8.0,"[4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.284325147551133,0.35915332956084534,0.5202792590831119,9.954324661711,0.2949377800613803,0.22267611656491954,0.43663090981326974,0.04570453673363323,7.3004554120069285,0.09422405075419268
C_algorithm,region_merge,8.0,"[4, 8, 16, 32]",region_merge,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.290724323309057,0.3320195774468477,0.5221376892839265,9.59345654403815,0.2984160528537422,0.23246124946216248,0.41662151912449885,0.019473817558854564,6.470917145318197,0.07477126402392165
D_palette,kmeans_lab,8.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.284325147551133,0.35915332956084534,0.5202792590831119,9.954324661711,0.2949377800613803,0.22267611656491954,0.43663090981326974,0.04570453673363323,7.3004554120069285,0.09436269012175234
D_palette,median_cut,8.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,median_cut,9990.0,4995.0,0.999,1.0,17.17113065117248,0.37530002854222894,0.5255172475738388,10.61039537764806,0.3217005421232405,0.23398326373754347,0.5146278036623686,0.05198475890402404,7.762295007237451,0.09776040251804527
E_priority,prio_edgef1,8.0,"[1, 2, 4, 8, 16, 32]",quadtree,edgef1,kmeans_lab,9990.0,4995.0,0.999,1.0,17.348636628249345,0.373759906477463,0.49897505317541024,9.834657730753284,0.21306059289071488,0.180715608601708,0.2595080723805396,-0.01969885082574917,6.454198559616553,0.08211052689309532
E_priority,prio_mse,8.0,"[1, 2, 4, 8, 16, 32]",quadtree,mse,kmeans_lab,9990.0,4995.0,0.999,1.0,17.22045294329962,0.36959398129535304,0.5182626003266798,10.218457054764931,0.3196773788937997,0.23768551031531168,0.48802687181709825,0.050381702064039,7.331155500122859,0.09340500456424301
